Step,Baseline,Prenorm,Postnorm
500,56.61,55.38,41.5
1000,49.93,49.62,30.22
1500,45.33,45.74,27.02
2000,35.25,40.68,24.83
2500,28.44,32.27,23.64
3000,25.79,27.75,22.56
3500,23.77,24.95,21.51
4000,22.4,23.23,20.74
4500,21.26,21.86,20.19
5000,19.87,20.57,19.6
5500,18.8,19.35,18.95
6000,17.61,18.35,18.49
6500,16.55,17.35,17.94
7000,15.42,16.57,17.81
7500,14.26,15.42,17.26
8000,13.3,14.64,16.78
8500,12.62,13.55,16.33
9000,12.25,13.0,16.11
9500,11.83,12.42,15.61
10000,11.48,11.98,15.49
10500,11.19,11.63,14.75
11000,10.82,11.22,14.11
11500,10.69,10.88,13.66
12000,10.58,10.68,12.99
12500,10.41,10.52,12.71
13000,10.24,10.39,12.27
13500,10.05,10.2,11.83
14000,9.97,10.04,11.62
14500,9.84,9.92,11.34
15000,9.75,9.78,11.09
15500,9.6,9.69,11.04
16000,9.41,9.52,10.67
16500,9.42,9.57,10.65
17000,9.41,9.45,10.5
17500,9.3,9.36,10.36
18000,9.22,9.27,10.29
18500,9.25,9.33,10.18
19000,9.12,9.19,10.06
19500,8.97,8.98,9.84
20000,8.92,8.89,9.75
20500,8.92,9.01,9.7
21000,8.95,8.94,9.75
21500,8.92,8.89,9.56
22000,8.86,8.8,9.51
22500,8.81,8.77,9.53
23000,8.75,8.73,9.39
23500,8.7,8.73,9.37
24000,8.66,8.66,9.29
24500,8.59,8.61,9.26
25000,8.68,8.7,9.25
25500,8.63,8.65,9.13
26000,8.57,8.56,9.03
26500,8.65,8.53,9.02
27000,8.55,8.52,9.0
27500,8.53,8.47,8.96
28000,8.42,8.38,8.85
28500,8.41,8.35,8.81
29000,8.38,8.37,8.81
29500,8.44,8.4,8.83
30000,8.44,8.36,8.77
30500,8.39,8.33,8.75
31000,8.34,8.29,8.7
31500,8.39,8.28,8.67
32000,8.23,8.23,8.58
32500,8.19,8.19,8.54
33000,8.33,8.2,8.59
33500,8.33,8.29,8.59
34000,8.33,8.28,8.62
34500,8.27,8.33,8.57
35000,8.24,8.2,8.47
35500,8.2,8.19,8.37
36000,8.12,8.17,8.4
36500,8.11,8.07,8.31
37000,8.25,8.19,8.39
37500,8.27,8.2,8.48
38000,8.13,8.17,8.38
38500,8.23,8.11,8.38
39000,8.1,8.08,8.29
39500,8.11,8.09,8.27
40000,8.15,8.03,8.24
40500,8.01,7.99,8.15
