Step,PPL
500,41.50
1000,30.22
1500,27.02
2000,24.83
2500,23.64
3000,22.56
3500,21.51
4000,20.74
4500,20.19
5000,19.60
5500,18.95
6000,18.49
6500,17.94
7000,17.81
7500,17.26
8000,16.78
8500,16.33
9000,16.11
9500,15.61
10000,15.49
10500,14.75
11000,14.11
11500,13.66
12000,12.99
12500,12.71
13000,12.27
13500,11.83
14000,11.62
14500,11.34
15000,11.09
15500,11.04
16000,10.67
16500,10.65
17000,10.50
17500,10.36
18000,10.29
18500,10.18
19000,10.06
19500,9.84
20000,9.75
20500,9.70
21000,9.75
21500,9.56
22000,9.51
22500,9.53
23000,9.39
23500,9.37
24000,9.29
24500,9.26
25000,9.25
25500,9.13
26000,9.03
26500,9.02
27000,9.00
27500,8.96
28000,8.85
28500,8.81
29000,8.81
29500,8.83
30000,8.77
30500,8.75
31000,8.70
31500,8.67
32000,8.58
32500,8.54
33000,8.59
33500,8.59
34000,8.62
34500,8.57
35000,8.47
35500,8.37
36000,8.40
36500,8.31
37000,8.39
37500,8.48
38000,8.38
38500,8.38
39000,8.29
39500,8.27
40000,8.24
40500,8.15
