Step,PPL
500,55.38
1000,49.62
1500,45.74
2000,40.68
2500,32.27
3000,27.75
3500,24.95
4000,23.23
4500,21.86
5000,20.57
5500,19.35
6000,18.35
6500,17.35
7000,16.57
7500,15.42
8000,14.64
8500,13.55
9000,13.00
9500,12.42
10000,11.98
10500,11.63
11000,11.22
11500,10.88
12000,10.68
12500,10.52
13000,10.39
13500,10.20
14000,10.04
14500,9.92
15000,9.78
15500,9.69
16000,9.52
16500,9.57
17000,9.45
17500,9.36
18000,9.27
18500,9.33
19000,9.19
19500,8.98
20000,8.89
20500,9.01
21000,8.94
21500,8.89
22000,8.80
22500,8.77
23000,8.73
23500,8.73
24000,8.66
24500,8.61
25000,8.70
25500,8.65
26000,8.56
26500,8.53
27000,8.52
27500,8.47
28000,8.38
28500,8.35
29000,8.37
29500,8.40
30000,8.36
30500,8.33
31000,8.29
31500,8.28
32000,8.23
32500,8.19
33000,8.20
33500,8.29
34000,8.28
34500,8.33
35000,8.20
35500,8.19
36000,8.17
36500,8.07
37000,8.19
37500,8.20
38000,8.17
38500,8.11
39000,8.08
39500,8.09
40000,8.03
40500,7.99
